gender;age_category;5km_time;time
0;50;1626;7041
0;50;1617;7041
0;50;1575;7041
0;50;1635;7043
0;50;1689;7047
0;50;1591;7048
0;50;1581;7052
0;50;1654;7053
0;50;1573;7061
0;50;1601;7065
0;50;1592;7067
0;50;1618;7068
0;50;1649;7069
0;50;1644;7072
0;50;1714;7074
0;50;1671;7076
0;50;1463;7084
0;50;1613;7086
0;50;1704;7088
0;50;1679;7090
0;50;1615;7092
0;50;1630;7094
0;50;1661;7101
0;50;1621;7107
0;50;1673;7112
0;50;1578;7121
0;50;1680;7123
0;50;1698;7123
0;50;1654;7125
0;50;1716;7128
0;50;1680;7130
0;50;1640;7137
0;50;1669;7139
0;50;1713;7144
0;50;1692;7148
0;50;1707;7154
0;50;1605;7155
0;50;1601;7156
0;50;1675;7157
0;50;1596;7158
0;50;1636;7164
0;50;1638;7165
0;50;1660;7167
0;50;1590;7174
0;50;1685;7181
0;50;1689;7184
0;50;1671;7184
0;50;1613;7187
0;50;1782;7190
0;50;1524;7191
0;50;1748;7192
0;50;1561;7195
0;50;1743;7196
0;50;1678;7197
0;50;1743;7199
0;50;1732;7204
0;50;1505;7205
0;50;1714;7207
0;50;1598;7209
0;50;1798;7211
0;50;1629;7211
0;50;1656;7212
0;50;1650;7217
0;50;1713;7217
0;50;1625;7218
0;50;1727;7219
0;50;1682;7220
0;50;1730;7221
0;50;1677;7222
0;50;1676;7224
0;50;1700;7224
0;50;1656;7225
0;50;1571;7226
0;50;1547;7227
0;50;1713;7228
0;50;1645;7232
0;50;1693;7241
0;50;1600;7243
0;50;1680;7248
0;50;1703;7254
0;50;1684;7255
0;50;1746;7259
0;50;1611;7260
0;50;1582;7262
0;50;1674;7263
0;50;1721;7266
0;50;1763;7273
0;50;1701;7274
0;50;1690;7274
0;50;1659;7278
0;50;1649;7280
0;50;1649;7283
0;50;1542;7283
0;50;1634;7286
0;50;1722;7288
0;50;1852;7288
0;50;1723;7297
0;50;1682;7298
0;50;1709;7300
0;50;1719;7306
0;50;1639;7307
0;50;1677;7307
0;50;1649;7315
0;50;1730;7318
0;50;1804;7321
0;50;1749;7323
0;50;1671;7332
0;50;1759;7332
0;50;1625;7332
0;50;1761;7335
0;50;1693;7338
0;50;1614;7351
0;50;1846;7352
0;50;1713;7352
0;50;1644;7353
0;50;1809;7355
0;50;1749;7357
0;50;1766;7358
0;50;1733;7358
0;50;1589;7360
0;50;1682;7366
0;50;1705;7368
0;50;1733;7375
0;50;1704;7376
0;50;1807;7377
0;50;1706;7381
0;50;1659;7385
0;50;1636;7393
0;50;1742;7398
0;50;1827;7409
0;50;1728;7415
0;50;1642;7418
0;50;1639;7422
0;50;1845;7424
0;50;1766;7425
0;50;1799;7426
0;50;1757;7428
0;50;1700;7437
0;50;1760;7438
0;50;1638;7439
0;50;1770;7449
0;50;1767;7453
0;50;1604;7461
0;50;1697;7466
0;50;1722;7467
0;50;1708;7473
0;50;1696;7475
0;50;1645;7476
0;50;1610;7484
0;50;1809;7491
0;50;1782;7492
0;50;1806;7496
0;50;1645;7498
0;50;1839;7504
0;50;1677;7508
0;50;1679;7509
0;50;1731;7517
0;50;1701;7528
0;50;1756;7529
0;50;1767;7532
0;50;1879;7533
0;50;1649;7533
0;50;1898;7533
0;50;1768;7534
0;50;1787;7535
0;50;1744;7540
0;50;1690;7548
0;50;1610;7549
0;50;1902;7549
0;50;1609;7549
0;50;1671;7560
0;50;1808;7560
0;50;1652;7564
0;50;1693;7565
0;50;1667;7566
0;50;1775;7567
0;50;1846;7579
0;50;1706;7581
0;50;1812;7585
0;50;1689;7589
0;50;1712;7606
0;50;1787;7611
0;50;1746;7612
0;50;1811;7614
0;50;1692;7618
0;50;1645;7622
0;50;1773;7624
0;50;1655;7637
0;50;1753;7641
0;50;1761;7656
0;50;1776;7656
0;50;1792;7659
0;50;1840;7661
0;50;1668;7663
0;50;1750;7664
0;50;1706;7669
0;50;1675;7674
0;50;1820;7676
0;50;1801;7676
0;50;1848;7682
0;50;1875;7683
0;50;1743;7690
0;50;1751;7692
0;50;1836;7694
0;50;1618;7696
0;50;1737;7696
0;50;1758;7697
0;50;1720;7702
0;50;1656;7717
0;50;1776;7718
0;50;1842;7725
0;50;1837;7726
0;50;1724;7726
0;50;1712;7726
0;50;1800;7734
0;50;1762;7740
0;50;1692;7742
0;50;1737;7744
0;50;1843;7745
0;50;1785;7745
0;50;1793;7747
0;50;1831;7749
0;50;1721;7762
0;50;1889;7764
0;50;1707;7766
0;50;1697;7770
0;50;1848;7770
0;50;1726;7770
0;50;1604;7772
0;50;1781;7773
0;50;1810;7773
0;50;1785;7775
0;50;1638;7778
0;50;1851;7779
0;50;2015;7794
0;50;1710;7809
0;50;1840;7810
0;50;1890;7815
0;50;1767;7823
0;50;1806;7828
0;50;1836;7841
0;50;1801;7842
0;50;1772;7843
0;50;1829;7846
0;50;1841;7847
0;50;1770;7849
0;50;1819;7859
0;50;1871;7860
0;50;1670;7862
0;50;1747;7867
0;50;1693;7867
0;50;1834;7868
0;50;1766;7870
0;50;1766;7874
0;50;1832;7878
0;50;1772;7888
0;50;1779;7889
0;50;1734;7894
0;50;1823;7896
0;50;1810;7898
0;50;1769;7899
0;50;1803;7901
0;50;1825;7910
0;50;1945;7913
0;50;1838;7919
0;50;1814;7923
0;50;1775;7924
0;50;1863;7927
0;50;1658;7930
0;50;1836;7931
0;50;1623;7932
0;50;1745;7945
0;50;1804;7946
0;50;1836;7957
0;50;1845;7961
0;50;1712;7967
0;50;1788;7973
0;50;1871;7975
0;50;1849;7992
0;50;2009;7996
0;50;1807;8001
0;50;1841;8003
0;50;1574;8008
0;50;1856;8023
0;50;1789;8033
0;50;1860;8039
0;50;1832;8039
0;50;1803;8046
0;50;1953;8051
0;50;1727;8057
0;50;1716;8064
0;50;1937;8067
0;50;1976;8071
0;50;1862;8076
0;50;1849;8083
0;50;1933;8083
0;50;1852;8089
0;50;1930;8100
0;50;1800;8111
0;50;1645;8113
0;50;1788;8124
0;50;1857;8125
0;50;1784;8127
0;50;1704;8135
0;50;1907;8142
0;50;1718;8142
0;50;1961;8143
0;50;1797;8146
0;50;1723;8149
0;50;1790;8152
0;50;1765;8158
0;50;1802;8161
0;50;2090;8172
